Gholie,2017-04-25 19:17:57 +0200, >>>Changed function name from New-Certificate to New-DSCCertificate<<<
Gholie,2017-04-25 19:12:39 +0200, >>>Got function to create certificate<<<
Gholie,2017-04-25 18:31:24 +0200, >>>Added the generation, and exporting of a certificate to encrypt credentials<<<
ebc92,2017-04-24 18:20:38 +0200, >>>MSSQL module implementation in master script.<<<
Gholie,2017-04-24 18:06:13 +0200, >>>Changed thumbprint to string<<<
Gholie,2017-04-24 18:02:44 +0200, >>>Added decrypting of PSCredentials with certificate<<<
Gholie,2017-04-24 17:27:23 +0200, >>>Removed hotfixes from DSC, as theese are installed in an updated system<<<
Gholie,2017-04-24 16:57:25 +0200, >>>Changed some minor settings in DSC<<<
Gholie,2017-04-24 16:45:33 +0200, >>>More DSC bugfixes<<<
Gholie,2017-04-24 16:27:52 +0200, >>>Small bugfixes to DSC script<<<
Gholie,2017-04-24 15:59:09 +0200, >>>Moved DSC initialization to main Exchange script<<<
Gholie,2017-04-24 15:26:38 +0200, >>>Moved DSC compile from Exchange Script to DSC script<<<
Gholie,2017-04-24 15:23:38 +0200, >>>Fixed  spelling error on line 303<<<
Gholie,2017-04-24 15:18:41 +0200, >>>Small bugfix in DSC script at line 303, wrong backslash<<<
ebc92,2017-04-24 15:09:08 +0200, >>>Added script to set trustedhost on provisioned VM.<<<
Gholie,2017-04-24 14:48:13 +0200, >>>Removed some more log lines<<<
Gholie,2017-04-24 14:46:22 +0200, >>>Temporarily disabled custom logs<<<
Gholie,2017-04-24 14:24:32 +0200, >>>Fixed bug on line 260 where a double qoute had snuck in<<<
ebc92,2017-04-24 13:24:57 +0200, >>>Added placeholders for service migration scripts.<<<
ebc92,2017-04-24 13:17:23 +0200, >>>ADDC migration script now reads variables from config file.<<<
Gholie,2017-04-24 13:06:51 +0200, >>>more bug fixes in exchange script<<<
Gholie,2017-04-24 12:44:06 +0200, >>>more bug fixes in exchange script<<<
ebc92,2017-04-24 12:20:08 +0200, >>>Added a configuration file for migration variables.<<<
Gholie,2017-04-24 11:57:02 +0200, >>>Small change for DSC deploy test<<<
ebc92,2017-04-24 11:55:10 +0200, >>>Optimization and bugfixes.<<<
Gholie,2017-04-24 11:50:40 +0200, >>>Small bugfixes<<<
Gholie,2017-04-24 11:42:01 +0200, >>>Small bugfix in ExchangeDSC<<<
Gholie,2017-04-24 11:00:38 +0200, >>>Added running of functions for testing purposes<<<
Gholie,2017-04-24 10:38:55 +0200, >>>Added DSC compiling, and running on target node<<<
ebc92,2017-04-24 09:52:04 +0200, >>>Added script to seize FSMO roles.<<<
Gholie,2017-04-20 15:52:34 +0200, >>>Added UCMA 4.0 Runtime to DSC, and removed it from script<<<
ebc92,2017-04-20 14:22:42 +0200, >>>Improvements to functions GpoExport -and Import.<<<
Gholie,2017-04-20 10:55:14 +0200, >>>Removed deprecated prereqs for Exchange 2016, moved DSC to main Exchange folder<<<
ebc92,2017-04-20 10:15:19 +0200, >>>Added missing params to master script execution.<<<
ebc92,2017-04-20 10:06:00 +0200, >>>Removed deprecated DSC document.<<<
ebc92,2017-04-20 10:04:03 +0200, >>>Merge branch 'develop' of https://github.com/ebc92/service-migration-azure<<<
ebc92,2017-04-20 09:57:04 +0200, >>>Fixed package architecture and cleaned up code.<<<
Gholie,2017-04-19 15:36:54 +0200, >>>Added windows update check in DSC to ensure compitability with Exchange 2016<<<
ebc92,2017-04-19 14:49:57 +0200, >>>Implemented additional logging.<<<
ebc92,2017-04-19 14:40:00 +0200, >>>Fixed the AD DSC deployment.<<<
Gholie,2017-04-19 13:11:40 +0200, >>>Added win features to DSC, updated download links for Exchange prereqs<<<
ebc92,2017-04-18 15:49:14 +0200, >>>Implemented DSC resource xComputerManagement in place of xDSCDomainJoin.<<<
